sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),PC1,PC2,tSNE1,tSNE2,true_label
5.1,3.5,1.4,0.2,-2.2647028088075887,0.48002659652098995,17.524487,10.526419,0
4.9,3.0,1.4,0.2,-2.0809611519657674,-0.6741335566053527,13.745171,10.214914,0
4.7,3.2,1.3,0.2,-2.3642290538903006,-0.3419080238846759,14.959588,9.6843405,0
4.6,3.1,1.5,0.2,-2.2993842170427077,-0.5973945076746754,14.27759,9.399287,0
5.0,3.6,1.4,0.2,-2.389842166313845,0.6468353829020278,17.879566,11.128079,0
5.4,3.9,1.7,0.4,-2.0756309481765127,1.489177523321168,19.68806,11.131407,0
4.6,3.4,1.4,0.3,-2.444028835134153,0.04764419763001466,15.777035,11.098423,0
5.0,3.4,1.5,0.2,-2.232847158872015,0.22314807268959236,16.600721,10.353062,0
4.4,2.9,1.4,0.2,-2.334640477907621,-1.1153276754616663,13.270949,9.249135,0
4.9,3.1,1.5,0.1,-2.184328174933942,-0.46901356140237543,14.405293,10.399913,0
5.4,3.7,1.5,0.2,-2.166310100701323,1.0436906530538608,18.97663,10.507437,0
4.8,3.4,1.6,0.2,-2.3261308664426985,0.13307833523923207,16.146454,10.755784,0
4.8,3.0,1.4,0.1,-2.218450898822409,-0.7286761653165706,13.722592,9.865672,0
4.3,3.0,1.1,0.1,-2.633100695765228,-0.9615067291701629,13.738156,8.83149,0
5.8,4.0,1.2,0.2,-2.198740603266691,1.860057113293933,20.32206,10.762096,0
5.7,4.4,1.5,0.4,-2.262214531601023,2.686284485110594,20.767967,11.350269,0
5.4,3.9,1.3,0.4,-2.2075876958245932,1.4836093631555738,19.708984,11.062315,0
5.1,3.5,1.4,0.3,-2.1903495091922993,0.4888383164863283,17.500135,10.55605,0
5.7,3.8,1.7,0.3,-1.8985719958028429,1.4050187944665506,19.719336,10.434103,0
5.1,3.8,1.5,0.3,-2.3433690530749938,1.127849381908477,18.972948,11.442201,0
5.4,3.4,1.7,0.2,-1.914322996082568,0.40885570775590696,17.621265,9.5011635,0
5.1,3.7,1.5,0.4,-2.207012843194799,0.9241214267468991,18.49375,11.251944,0
4.6,3.6,1.0,0.2,-2.7743447029273325,0.4583436677529162,17.088348,11.964252,0
5.1,3.3,1.7,0.5,-1.8186695286958494,0.08555852628736653,16.383087,9.493412,0
4.8,3.4,1.9,0.2,-2.2271633057066387,0.13725445536342765,16.117725,10.811896,0
5.0,3.0,1.6,0.2,-1.9518463309003757,-0.6256185877766763,13.825673,10.519488,0
5.0,3.4,1.6,0.4,-2.0511513727294157,0.24216355266166764,16.637352,10.352455,0
5.2,3.5,1.5,0.2,-2.168577174654217,0.5271495253082681,17.748743,10.257717,0
5.2,3.4,1.4,0.2,-2.1395634513013317,0.31321781013995253,17.124166,9.856866,0
4.7,3.2,1.6,0.2,-2.2652614931542403,-0.3377319037604803,14.966078,9.817694,0
4.8,3.1,1.6,0.2,-2.140122135647984,-0.5045406901415181,14.411951,9.9549265,0
5.4,3.4,1.5,0.4,-1.8315947706760287,0.42369506760378667,17.575735,9.474932,0
5.2,4.1,1.5,0.1,-2.6149479358589356,1.7935758561044297,20.075802,11.7145405,0
5.5,4.2,1.4,0.2,-2.446177391696516,2.1507278773929257,20.464281,11.373001,0
4.9,3.1,1.5,0.2,-2.109974875318652,-0.4602018414370371,14.458693,10.339014,0
5.0,3.2,1.2,0.2,-2.2078088990782656,-0.20610739768843636,15.209353,10.238483,0
5.5,3.5,1.3,0.2,-2.0451462067542017,0.661558111463109,18.306189,9.779055,0
4.9,3.6,1.4,0.1,-2.5273319131704866,0.5922927741908103,17.68674,11.482674,0
4.4,3.0,1.3,0.2,-2.4296325750845456,-0.9041800403761479,13.744931,9.077479,0
5.1,3.4,1.5,0.2,-2.169710711630664,0.26887896143547146,16.859577,10.059801,0
5.0,3.5,1.3,0.3,-2.2864751433456707,0.4417153876990508,17.212196,10.869478,0
4.5,2.3,1.3,0.3,-1.8581224563735703,-2.3374151575533486,12.191936,8.959434,0
4.4,3.2,1.3,0.2,-2.553638395614356,-0.4791006901223138,14.602051,8.9399185,0
5.0,3.5,1.6,0.6,-1.964447683763741,0.47232666771926146,17.074005,11.214187,0
5.1,3.8,1.9,0.4,-2.1370590058116234,1.1422292620394094,19.027681,11.662198,0
4.8,3.0,1.4,0.3,-2.0697442995918296,-0.7110527253858939,13.726173,9.866154,0
5.1,3.8,1.6,0.2,-2.3847331657782633,1.1204297019845373,18.958914,11.450062,0
4.6,3.2,1.4,0.2,-2.394376314219633,-0.38624687258915685,14.849055,9.383856,0
5.3,3.7,1.5,0.2,-2.229446547942675,0.9979597643079811,18.816584,10.685173,0
5.0,3.3,1.4,0.2,-2.2038334355191305,0.00921635752127674,15.954601,9.986168,0
7.0,3.2,4.7,1.4,1.1017811830529478,0.8629724182621593,-11.107629,-8.096785,1
6.4,3.2,4.5,1.5,0.7313374253960876,0.5946147256694249,-10.638978,-7.0502386,1
6.9,3.1,4.9,1.5,1.2409793195158314,0.6162976544374986,-11.243024,-7.800367,1
5.5,2.3,4.0,1.3,0.40748305881738645,-1.7544039893234111,-3.3971567,-5.035747,1
6.5,2.8,4.6,1.5,1.0754747006090788,-0.2084210460509656,-8.89064,-6.41345,1
5.7,2.8,4.5,1.3,0.38868733653566573,-0.5932836359900756,-6.1792164,-4.1807957,1
6.3,3.3,4.7,1.6,0.746529741329161,0.7730193120985966,-10.912077,-6.695885,1
4.9,2.4,3.3,1.0,-0.4873227421256384,-1.852429086857575,-2.7096,-3.9541144,1
6.6,2.9,4.6,1.3,0.9279016383549458,0.03222607789115388,-9.140159,-7.0295115,1
5.2,2.7,3.9,1.4,0.011426188736981176,-1.0340182751294413,-4.4627566,-3.231454,1
5.0,2.0,3.5,1.0,-0.11019628000062735,-2.6540728185365654,-2.3370285,-4.6210837,1
5.9,3.0,4.2,1.5,0.44069344898307883,-0.06329518843800157,-7.647045,-4.225506,1
6.0,2.2,4.0,1.0,0.5621083064431802,-1.7647243806169457,-3.828744,-5.981066,1
6.1,2.9,4.7,1.4,0.7195618886754972,-0.18622460583150596,-8.125505,-5.1355023,1
5.6,2.9,3.6,1.3,-0.033354703178771684,-0.4390032099816249,-6.0209365,-3.3334582,1
6.7,3.1,4.4,1.4,0.8754071908577378,0.5090639567734088,-10.403118,-7.7252464,1
5.6,3.0,4.5,1.5,0.35025166799508334,-0.19631173455144438,-7.3009,-3.4183934,1
5.8,2.7,4.1,1.0,0.15881004754797204,-0.7920957424327216,-5.233166,-4.5607586,1
6.2,2.2,4.5,1.5,1.2250936335624332,-1.6222438030915025,-4.580707,-6.7286816,1
5.6,2.5,3.9,1.1,0.16491789938632828,-1.3026092302957732,-4.0314865,-4.5475187,1
5.9,3.2,4.8,1.8,0.7376826487712587,0.3965715619602388,-10.486286,-5.6965504,1
6.1,2.8,4.0,1.3,0.47628719094097205,-0.417320281213551,-6.8631816,-5.015336,1
6.3,2.5,4.9,1.5,1.2341780976571501,-0.9333257287992789,-6.276405,-6.744138,1
6.1,2.8,4.7,1.2,0.6328581997098226,-0.4163877208890997,-7.295989,-5.3158884,1
6.4,2.9,4.3,1.3,0.7026611831361828,-0.06341181972480003,-8.468914,-6.3290944,1
6.6,3.0,4.4,1.4,0.8742736538812906,0.25079339290061226,-9.795857,-7.373429,1
6.8,2.8,4.8,1.4,1.2565091165418842,-0.07725601969586897,-9.163452,-7.2653713,1
6.7,3.0,5.0,1.7,1.3584051214406323,0.3313116817908981,-11.822408,-6.8856077,1
6.0,2.9,4.5,1.5,0.6648003672253954,-0.22592785469484383,-8.01484,-4.6975565,1
5.7,2.6,3.5,1.0,-0.040258610900594634,-1.0587185465539088,-4.3874087,-4.5861616,1
5.5,2.4,3.8,1.1,0.13079517549786174,-1.562271834209968,-3.5326786,-4.6301103,1
5.5,2.4,3.7,1.0,0.02345268897055189,-1.5724755942167048,-3.4474778,-4.620835,1
5.8,2.7,3.9,1.2,0.24153827295451166,-0.777256382584842,-5.336449,-4.3736415,1
6.0,2.7,5.1,1.6,1.0610946088426152,-0.6338432447349475,-8.952601,-4.0335355,1
5.4,3.0,4.5,1.5,0.22397877351238035,-0.28777351204320273,-6.9853134,-2.9622035,1
6.0,3.4,4.5,1.6,0.42913911551616074,0.8455822409050787,-10.731162,-6.3393564,1
6.7,3.1,4.7,1.5,1.0487280512090877,0.5220517968629428,-10.806794,-7.6075535,1
6.3,2.3,4.4,1.3,1.0445313843962805,-1.3829887191907821,-4.6447372,-6.630702,1
5.6,3.0,4.1,1.3,0.06958832111642342,-0.21950333464771524,-6.6986575,-3.3838632,1
5.5,2.5,4.0,1.3,0.2834772382875765,-1.329324639069577,-3.9854636,-4.140063,1
5.5,2.6,4.4,1.2,0.27907777605546197,-1.1200285237424041,-4.5185943,-3.9507673,1
6.1,3.0,4.6,1.4,0.624569791498572,0.02492302925401254,-8.289814,-5.1433973,1
5.8,2.6,4.0,1.2,0.33653037013143666,-0.9884040176703605,-4.815493,-4.589014,1
5.0,2.3,3.3,1.0,-0.362183384619382,-2.0192378732386125,-2.6529336,-4.2010303,1
5.6,2.7,4.2,1.3,0.28858623882315826,-0.8557303199870668,-5.218744,-3.865724,1
5.7,3.0,4.2,1.2,0.09136065565450581,-0.18119212582577546,-6.804923,-3.7050645,1
5.7,2.9,4.2,1.3,0.22771686553470066,-0.3849200809873541,-6.548647,-3.9034493,1
6.2,2.9,4.3,1.3,0.5763882886534792,-0.15487359721655886,-7.857281,-5.5120225,1
5.1,2.5,3.0,1.1,-0.44766701902861067,-1.5437920343977565,-3.0152323,-3.8447142,1
5.7,2.8,4.1,1.3,0.2567305888875854,-0.5988517961556697,-5.9250317,-3.9917302,1
6.3,3.3,6.0,2.5,1.8445688677230299,0.8704213123248229,-14.534717,-7.6908197,2
5.8,2.7,5.1,1.9,1.157881613205781,-0.698869862330691,-9.404221,-3.0624301,2
7.1,3.0,5.9,2.1,2.205266791075379,0.5620104770083555,-15.019741,-5.1452703,2
6.3,2.9,5.6,1.8,1.4401506638275405,-0.046987588105806936,-11.604331,-4.9885454,2
6.5,3.0,5.8,2.2,1.8678122203305385,0.29504482445701946,-13.418297,-5.58267,2
7.6,3.0,6.6,2.1,2.7518733356662777,0.8004092010275421,-16.106277,-4.550902,2
4.9,2.5,4.5,1.7,0.3670176878607259,-1.5615028914765068,-3.7375455,-2.8731105,2
7.3,2.9,6.3,1.8,2.3024394446251977,0.4200655796427763,-15.501089,-4.3329053,2
6.7,2.5,5.8,1.8,2.006686467676607,-0.7114386535471595,-11.695853,-3.2916803,2
7.2,3.6,6.1,2.5,2.2597773490125004,1.921010376459887,-16.113499,-7.157155,2
6.5,3.2,5.1,2.0,1.3641754921860083,0.692756454490387,-13.181905,-6.703342,2
6.4,2.7,5.3,1.9,1.6026786704779317,-0.42170044977261756,-11.118692,-3.9955325,2
6.8,3.0,5.5,2.1,1.8839007017032434,0.4192496506051234,-13.953516,-5.511978,2
5.7,2.5,5.0,2.0,1.2601150991975092,-1.1622604214064645,-9.106201,-2.515451,2
5.8,2.8,5.1,2.4,1.4676452010173253,-0.4422715873770831,-10.196881,-2.5819266,2
6.4,3.2,5.3,2.3,1.5900773176145666,0.67624480572332,-13.881846,-7.058018,2
6.5,3.0,5.5,1.8,1.471431461133319,0.2556218244714703,-12.301099,-5.8152356,2
7.7,3.8,6.7,2.2,2.4263289873157006,2.556661250795493,-16.68596,-7.029348,2
7.7,2.6,6.9,2.3,3.310695583933889,0.017780949320626623,-16.28009,-3.7835064,2
6.0,2.2,5.0,1.5,1.2637666736398299,-1.7067453803762687,-4.587057,-6.7332644,2
6.9,3.2,5.7,2.3,2.0377163014694055,0.9104674096183109,-14.913196,-6.34389,2
5.6,2.8,4.9,2.0,0.9779807342494228,-0.5717643248129924,-9.448115,-2.7754705,2
7.7,2.8,6.7,2.0,2.89765149073417,0.4136410595956475,-16.126593,-4.051337,2
6.3,2.7,4.9,1.8,1.33323217597321,-0.48181121864942966,-10.104961,-4.015312,2
6.7,3.3,5.7,2.1,1.7007338974912176,1.0139218673227914,-14.48896,-6.8933916,2
7.2,3.2,6.0,1.8,1.9543267058530716,1.0077775961534525,-15.470575,-5.340716,2
6.2,2.8,4.8,1.8,1.1751036315549335,-0.31639447230979134,-9.814016,-4.263911,2
6.1,3.0,4.9,1.8,1.0209505506957919,0.0643460292395616,-10.24468,-5.0758348,2
6.4,2.8,5.6,2.1,1.7883499201796669,-0.18736121459082922,-12.196649,-4.415762,2
7.2,3.0,5.8,1.6,1.8636475533282617,0.5622907258861446,-15.050588,-4.49219,2
7.4,2.8,6.1,1.9,2.4359537279227044,0.2592844331442802,-15.663445,-4.126854,2
7.9,3.8,6.4,2.0,2.3049277218317643,2.6263234682323793,-16.74694,-6.9995937,2
6.4,2.8,5.6,2.2,1.862703219794957,-0.17854949462549083,-12.408738,-4.408612,2
6.3,2.8,5.1,1.5,1.1141477406864755,-0.2929226233357317,-8.93572,-5.493332,2
6.1,2.6,5.6,1.4,1.2024733016783922,-0.8113152708396694,-6.829149,-6.406137,2
7.7,3.0,6.1,2.3,2.7987704475781086,0.8568033294971055,-16.248476,-4.674174,2
6.3,3.4,5.6,2.4,1.5762559101947546,1.0685811073208074,-14.4035,-7.793714,2
6.4,3.1,5.5,1.8,1.3462921036270625,0.4224306108525082,-12.326345,-6.1288667,2
6.0,3.0,4.8,1.8,0.92482491654242,0.017223100452283896,-9.970478,-4.9843793,2
6.9,3.1,5.4,2.1,1.8520450517676708,0.6761281744365215,-14.410522,-5.7696857,2
6.7,3.1,5.6,2.4,2.0148104299548764,0.6138856369235748,-14.273142,-6.365708,2
6.9,3.1,5.1,2.3,1.90178409026219,0.6895754942430027,-14.413867,-6.011177,2
5.8,2.7,5.1,1.9,1.157881613205781,-0.698869862330691,-9.404221,-3.0624301,2
6.8,3.2,5.9,2.3,2.0405582280520935,0.8675206009552283,-14.831743,-6.509169,2
6.7,3.3,5.7,2.5,1.9981470959523768,1.0491687471841449,-14.89214,-7.1516976,2
6.7,3.0,5.2,2.3,1.8705032929564116,0.3869660816657254,-13.83382,-5.847079,2
6.3,2.5,5.0,1.9,1.5645804830303294,-0.8966868088965267,-6.9994316,-7.0423074,2
6.5,3.0,5.2,2.0,1.5211704996278386,0.2690691442779515,-12.770849,-5.7466,2
6.2,3.4,5.4,2.3,1.3727877895140734,1.0112544185267927,-14.140002,-7.8686776,2
5.9,3.0,5.1,1.8,0.9606560300371286,-0.02433166816939971,-10.02691,-4.8748255,2
